SA22023_CODE,SA22023,Type,SA22018_CODE,SA22018
100100,North Cape,Simple Map,100100,North Cape
100200,Rangaunu Harbour,Simple Map,100200,Rangaunu Harbour
100301,Inlets Far North District,Many To Many Map,100300,Inlets Far North District
100400,Karikari Peninsula,Simple Map,100400,Karikari Peninsula
100500,Tangonge,Simple Map,100500,Tangonge
100600,Ahipara,Simple Map,100600,Ahipara
100700,Kaitaia East,Simple Map,100700,Kaitaia East
100800,Kaitaia West,Simple Map,100800,Kaitaia West
100900,Rangitihi,Simple Map,100900,Rangitihi
101000,Oruru-Parapara,Simple Map,101000,Oruru-Parapara
101101,Doubtless Bay,Simple Map,101100,Taumarumaru
101200,Herekino-Takahue,Simple Map,101200,Herekino-Takahue
101300,Peria,Simple Map,101300,Peria
101400,Taemaro-Oruaiti,Simple Map,101400,Taemaro-Oruaiti
101500,Whakapaku,Simple Map,101500,Whakapaku
101600,Hokianga North,Simple Map,101600,Hokianga North
101700,Kohukohu-Broadwood,Simple Map,101700,Kohukohu-Broadwood
101801,Whakarara,Many To Many Map,100300,Inlets Far North District
101801,Whakarara,Many To Many Map,101800,Whakarara
101900,Kaeo,Simple Map,101900,Kaeo
102000,Omahuta Forest-Horeke,Simple Map,102000,Omahuta Forest-Horeke
102100,Hokianga South,Simple Map,102100,Hokianga South
102201,Lake Manuwai-Kapiro,Many To Many Map,102200,Lake Manuwai-Kapiro
102300,Okaihau,Simple Map,102300,Okaihau
102401,Rangitane-Purerua,Many To Many Map,102400,Rangitane-Purerua
102401,Rangitane-Purerua,Many To Many Map,100300,Inlets Far North District
102501,Waipapa,Many To Many Map,102500,Waipapa
102600,Puketotara,Simple Map,102600,Puketotara
102700,Waima Forest,Simple Map,102700,Waima Forest
102801,Riverview,Many To Many Map,102800,Riverview
102801,Riverview,Many To Many Map,102200,Lake Manuwai-Kapiro
102801,Riverview,Many To Many Map,102500,Waipapa
102900,Waipoua Forest,Simple Map,102900,Waipoua Forest
103000,Kerikeri Central,Simple Map,103000,Kerikeri Central
103101,Kerikeri South,Many To Many Map,103100,Kerikeri South
103200,Ohaeawai-Waimate North,Simple Map,103200,Ohaeawai-Waimate North
103301,Puketona-Waitangi,Many To Many Map,103300,Puketona-Waitangi
103301,Puketona-Waitangi,Many To Many Map,103100,Kerikeri South
103401,Ngapuhi,Many To Many Map,103400,Ngapuhi
103501,Kaikohe,Many To Many Map,103400,Ngapuhi
103501,Kaikohe,Many To Many Map,103500,Kaikohe
103600,Pakaraka,Simple Map,103600,Pakaraka
103700,Haruru,Simple Map,103700,Haruru
103800,Russell,Simple Map,103800,Russell
103900,Paihia,Simple Map,103900,Paihia
104000,Mataraua Forest,Simple Map,104000,Mataraua Forest
104101,Matawaia-Taumarere,Many To Many Map,104100,Matawaia-Taumarere
104200,Russell Peninsula,Simple Map,104200,Russell Peninsula
104301,Opua (Far North District),Many To Many Map,100300,Inlets Far North District
104301,Opua (Far North District),Many To Many Map,104300,Opua (Far North District)
104400,Russell Forest-Rawhiti,Simple Map,104400,Russell Forest-Rawhiti
104501,Moerewa,Many To Many Map,104500,Moerewa
104501,Moerewa,Many To Many Map,104100,Matawaia-Taumarere
104600,Kawakawa,Simple Map,104600,Kawakawa
104700,Maromaku,Simple Map,104700,Maromaku
104800,Mangakahia-Hukerenui,Simple Map,104800,Mangakahia-Hukerenui
104900,Whangaruru,Simple Map,104900,Whangaruru
105001,Inlets other Whangarei District,Many To Many Map,105000,Inlets other Whangarei District
105101,Matarau,Many To Many Map,105100,Matarau
105200,Hikurangi,Simple Map,105200,Hikurangi
105300,Kauri,Simple Map,105300,Kauri
105400,Maungatapere,Simple Map,105400,Maungatapere
105500,Kamo West,Simple Map,105500,Kamo West
105601,Matapouri-Tutukaka,Many To Many Map,105600,Matapouri-Tutukaka
105601,Matapouri-Tutukaka,Many To Many Map,105000,Inlets other Whangarei District
105700,Kiripaka,Simple Map,105700,Kiripaka
105800,Kamo East,Simple Map,105800,Kamo East
105901,Granfield Reserve,Many To Many Map,105100,Matarau
105901,Granfield Reserve,Many To Many Map,105900,Granfield Reserve
106000,Kamo Central,Simple Map,106000,Kamo Central
106100,Whau Valley,Simple Map,106100,Whau Valley
106201,Tikipunga North,Many To Many Map,106200,Tikipunga North
106201,Tikipunga North,Many To Many Map,106400,Otangarei
106301,Pukenui,Many To Many Map,106300,Pukenui
106401,Otangarei,Many To Many Map,106400,Otangarei
106501,Tikipunga South,Simple Map,106500,Tikipunga South
106600,Kensington (Whangarei District),Simple Map,106600,Kensington (Whangarei District)
106700,Abbey Caves-Glenbervie,Simple Map,106700,Abbey Caves-Glenbervie
106800,Mairtown,Simple Map,106800,Mairtown
106901,Maunu,Many To Many Map,106900,Maunu-Horahora
106901,Maunu,Many To Many Map,106300,Pukenui
106902,Horahora,Many To Many Map,106900,Maunu-Horahora
107000,Woodhill-Vinetown,Simple Map,107000,Woodhill-Vinetown
107100,Whangarei Central,Simple Map,107100,Whangarei Central
107200,Riverside,Simple Map,107200,Riverside
107300,Raumanga,Simple Map,107300,Raumanga
107401,Tarewa,Many To Many Map,107400,Tarewa
107401,Tarewa,Many To Many Map,107900,Port-Limeburners
107501,Morningside (Whangarei District),Many To Many Map,107500,Morningside (Whangarei District)
107501,Morningside (Whangarei District),Many To Many Map,107900,Port-Limeburners
107600,Ngunguru,Simple Map,107600,Ngunguru
107700,Otaika-Portland,Simple Map,107700,Otaika-Portland
107800,Oakleigh-Mangapai,Simple Map,107800,Oakleigh-Mangapai
107901,Port-Limeburners,Many To Many Map,107900,Port-Limeburners
108000,Pataua,Simple Map,108000,Pataua
108100,Onerahi Park,Simple Map,108100,Onerahi Park
108200,Sherwood Rise,Simple Map,108200,Sherwood Rise
108300,Onerahi,Simple Map,108300,Onerahi
108400,Inlet Whangarei Harbour,Simple Map,108400,Inlet Whangarei Harbour
108500,Parua Bay,Simple Map,108500,Parua Bay
108601,Bream Bay,Many To Many Map,108600,Bream Bay
108601,Bream Bay,Many To Many Map,108700,Marsden Bay
108701,One Tree Point,Many To Many Map,108700,Marsden Bay
108701,One Tree Point,Many To Many Map,108600,Bream Bay
108800,Ruakaka,Simple Map,108800,Ruakaka
108900,Bream Head,Simple Map,108900,Bream Head
109003,Waipu,Many To One Map,109000,Waipu
109004,Waipu Rural,Many To One Map,109000,Waipu
109101,Kaipara Coastal,Many To Many Map,109100,Kaipara Coastal
109200,Maungaru,Simple Map,109200,Maungaru
109301,Dargaville,Many To Many Map,109100,Kaipara Coastal
109301,Dargaville,Many To Many Map,109300,Dargaville
109400,Ruawai-Matakohe,Simple Map,109400,Ruawai-Matakohe
109500,Otamatea (Kaipara District),Simple Map,109500,Otamatea (Kaipara District)
109600,Maungaturoto,Simple Map,109600,Maungaturoto
109700,Kaiwaka,Simple Map,109700,Kaiwaka
109800,Mangawhai Rural,Simple Map,109800,Mangawhai Rural
109900,Mangawhai Heads,Simple Map,109900,Mangawhai Heads
110000,Inlet Mangawhai Harbour,Simple Map,110000,Inlet Mangawhai Harbour
110100,Mangawhai,Simple Map,110100,Mangawhai
110201,Okahukura Peninsula,Many To Many Map,110200,Okahukura Peninsula
110300,Inlet Kaipara Harbour South,Simple Map,110300,Inlet Kaipara Harbour South
110400,Cape Rodney,Simple Map,110400,Cape Rodney
110501,Wellsford,Many To Many Map,110200,Okahukura Peninsula
110501,Wellsford,Many To Many Map,110500,Wellsford
110600,Oceanic Auckland Region East,Simple Map,110600,Oceanic Auckland Region East
110700,South Head,Simple Map,110700,South Head
110800,Kaipara Hills,Simple Map,110800,Kaipara Hills
110900,Dome Valley-Matakana,Simple Map,110900,Dome Valley-Matakana
111000,Oceanic Auckland Region West,Simple Map,111000,Oceanic Auckland Region West
111100,Warkworth West,Simple Map,111100,Warkworth West
111200,Puhoi Valley,Simple Map,111200,Puhoi Valley
111300,Warkworth East,Simple Map,111300,Warkworth East
111400,Sandspit,Simple Map,111400,Sandspit
111500,Tawharanui Peninsula,Simple Map,111500,Tawharanui Peninsula
111601,Kaukapakapa,Many To Many Map,111600,Te Kuru
111602,Kaukapakapa Rural,Many To Many Map,112100,Wainui-Waiwera
111602,Kaukapakapa Rural,Many To Many Map,111600,Te Kuru
111700,Snells Beach,Simple Map,111700,Snells Beach
111801,Barrier Islands,Many To Many Map,111800,Barrier Islands
111801,Barrier Islands,Many To Many Map,112000,Inlets other Auckland
111901,Mahurangi Peninsula,Simple Map,111900,Algies Bay-Scotts Landing
112001,Inlets other Auckland,Many To Many Map,112000,Inlets other Auckland
112101,Wainui-Waiwera,Many To Many Map,112100,Wainui-Waiwera
112102,Ara Hill,Many To Many Map,112100,Wainui-Waiwera
112200,Parakai,Simple Map,112200,Parakai
112301,Helensville Rural,Many To Many Map,112300,Helensville Rural
112401,Helensville,Many To Many Map,112300,Helensville Rural
112401,Helensville,Many To Many Map,112400,Helensville
112500,Waitoki,Simple Map,112500,Waitoki
112600,Waikoukou Valley,Simple Map,112600,Waikoukou Valley
112701,Orewa North,Many To One Map,112700,Orewa North
112702,Orewa West,Many To One Map,112700,Orewa North
112800,Hatfields Beach,Simple Map,112800,Hatfields Beach
112901,Orewa South,Many To One Map,112900,Orewa South
112902,Millwater North,Many To One Map,112900,Orewa South
113000,Orewa Central,Simple Map,113000,Orewa Central
113101,Millwater Central,Simple Map,113100,Millwater North
113201,Waipatukahu,Many To Many Map,113200,Waipatukahu
113201,Waipatukahu,Many To Many Map,114200,Waimauku
113300,Millwater South,Simple Map,113300,Millwater South
113401,Milldale,Many To Many Map,112100,Wainui-Waiwera
113401,Milldale,Many To Many Map,113400,Dairy Flat North
113402,Dairy Flat North,Many To Many Map,113400,Dairy Flat North
113500,Dairy Flat West,Simple Map,113500,Dairy Flat West
113600,Kingsway,Simple Map,113600,Kingsway
113700,Riverhead Forest,Simple Map,113700,Riverhead Forest
113800,Silverdale Central (Auckland),Simple Map,113800,Silverdale Central (Auckland)
113900,Red Beach West,Simple Map,113900,Red Beach West
114000,Red Beach East,Simple Map,114000,Red Beach East
114101,Silverdale South (Auckland),Many To Many Map,114100,Silverdale South (Auckland)
114101,Silverdale South (Auckland),Many To Many Map,114800,Okura Bush
114102,Stillwater,Many To Many Map,114100,Silverdale South (Auckland)
